date,tradebot_action,event,layer,recovery_type
2016-01-01,normal,baseline,,
2016-01-11,reduce_beta_buy_vixy,中國熔斷+人民幣貶值恐慌,Liquidity,unclear
2016-02-15,normal,恐慌消退,,
2016-06-24,hold,Brexit公投通過,Policy,unclear
2016-07-11,normal,Brexit衝擊短暫消化,,
2016-11-09,hold,Trump當選意外,Politics,unclear
2016-11-28,normal,市場重新定價完成,,
2017-01-01,normal,baseline,,
2018-02-05,reduce_beta_buy_vixy,VIX爆炸XIV清算流動性衝擊,Liquidity,v_turn
2018-02-26,normal,VIX正常化,,
2018-10-01,reduce_beta_buy_vixy,Fed升息恐慌科技股領跌,Policy,sustained
2018-12-26,add_positions_sell_hedge,Fed Powell鴿派轉向聖誕底部,Policy,v_turn
2019-01-14,normal,市場反彈確認,,
2019-05-06,hold,美中貿易戰再升級,Policy,unclear
2019-08-05,reduce_beta_buy_vixy,殖利率曲線倒掛+人民幣破7,Policy,sustained
2019-09-18,normal,Fed降息週期開始市場回穩,,
2020-02-24,reduce_beta_buy_vixy,COVID-19歐洲爆發市場崩跌,Liquidity,sustained
2020-03-23,reduce_beta_buy_vixy,流動性危機高峰信用市場凍結,Liquidity,sustained
2020-04-09,add_positions_sell_hedge,Fed無限QE+財政刺激V轉確認,Liquidity,v_turn
2020-06-08,normal,市場全面收復失地,,
2021-01-01,normal,baseline疫後復甦,,
2021-11-30,hold,Omicron變種恐慌,Politics,unclear
2021-12-13,normal,Omicron影響輕微確認,,
2022-01-05,reduce_beta_buy_vixy,Fed激進升息預期科技股估值重設,Policy,sustained
2022-02-24,reduce_beta_buy_vixy,俄烏戰爭爆發能源供應衝擊,Liquidity,sustained
2022-06-13,reduce_beta_buy_vixy,CPI 9.1%通膨峰值熊市深化,Earnings,sustained
2022-10-13,hold,CPI意外降溫熊市底部訊號,Policy,unclear
2022-11-10,add_positions_sell_hedge,CPI大幅低於預期底部確認,Policy,v_turn
2023-01-01,normal,baseline熊市後復甦,,
2023-03-10,reduce_beta_buy_vixy,SVB銀行倒閉流動性恐慌,Liquidity,sustained
2023-03-17,hold,Fed+FDIC緊急介入危機控制,Liquidity,unclear
2023-04-03,normal,銀行危機侷限確認,,
2023-10-23,hold,10年期美債殖利率破5%,Policy,unclear
2023-11-01,normal,Fed暗示升息週期結束,,
2024-01-01,normal,baseline軟著陸預期,,
2024-07-11,hold,CPI降溫降息預期升溫輪動,Policy,v_turn
2024-08-05,reduce_beta_buy_vixy,日圓套利交易崩解VIX飆至65,Liquidity,sustained
2024-08-08,add_positions_sell_hedge,BoJ緩和表態三日完全V轉,Liquidity,v_turn
2024-08-19,normal,市場完全恢復正常,,
2024-09-18,normal,Fed首次降息軟著陸敘事強化,,
2025-01-20,hold,Trump就職貿易戰威脅,Policy,unclear
2025-02-03,hold,加墨25%關稅生效,Policy,unclear
2025-03-04,hold,DOGE大裁員信心危機,Earnings,sustained
2025-04-02,hold,Liberation Day關稅宣布,Policy,unclear
2025-04-04,reduce_beta_buy_vixy,中國反制關稅那斯達克熊市信用利差擴大,Liquidity,sustained
2025-04-09,add_positions_sell_hedge,Trump90天暫停單日漲9.5%,Policy,v_turn
2025-04-14,hold,停火期間不確定性持續,Policy,unclear
2025-07-15,hold,Fed通膨黏性不降息,Policy,sustained
2025-08-05,reduce_beta_buy_vixy,日圓套利崩解VIX65,Liquidity,sustained
2025-08-08,add_positions_sell_hedge,BoJ緩和三日V轉,Liquidity,v_turn
2025-08-19,normal,市場恢復,,
2025-10-01,reduce_beta_buy_vixy,美中談判破裂關稅恢復,Earnings,sustained
2025-10-22,reduce_beta_buy_vixy,科技巨頭集體下調展望EPS大幅下修,Earnings,sustained
2025-11-10,reduce_beta_buy_vixy,Fed緊急降息確認就業惡化,Liquidity,sustained
2026-01-15,hold,美中初步框架協議關稅降60%,Policy,v_turn
2026-02-01,normal,協議執行市場回穩,,
2026-02-28,reduce_beta_buy_vixy,以色列空襲伊朗核設施,Liquidity,sustained
2026-04-10,reduce_beta_buy_vixy,伊朗封鎖霍爾木茲油價145,Liquidity,sustained
